id;nombre
1;Institución de Función del Estado
2;Entidad creada por Gobierno Provincial
3;Institución adscrita a Ministerio
4;Entidad adscrita
5;Órgano de Función del Estado
6;Entidad del Régimen Autónomo Descentralizado
7;Entidad del Sector Público Financiero
8;Entidad de Educación Superior
9;Empresa Pública
10;Empresa Pública Provincial
11;Entidad adscrita al Gobierno Provincial
12;Colegio Municipal
13;Consorcio
14;Mancomunidad Provincial
15;Adscrita a la Municipalidad
16;Sociedad Anónima, Mercantil, Mixta
17;Organismos del sector público
18;Personas jurídicas con derecho público
19;Institución Pública
20;Otra
